id,teams,status,ago,event,tournament,img
111,"[{'name': 'fish123', 'score': '13', 'country': 'gb', 'won': True}, {'name': 'DPE', 'score': '4', 'country': 'ru', 'won': False}]",Completed,3y,Group Stage–Group D,Solary Cup,https://owcdn.net/img/5f0b711209e9d.png
112,"[{'name': 'LUJAika', 'score': '12', 'country': 'ru', 'won': False}, {'name': 'OldTownRoad', 'score': '13', 'country': 'fr', 'won': True}]",Completed,3y,Group Stage–Group D,Solary Cup,https://owcdn.net/img/5f0b711209e9d.png
113,"[{'name': 'StartedFromCS', 'score': '12', 'country': 'eu', 'won': False}, {'name': 'SuperStars', 'score': '13', 'country': 'es', 'won': True}]",Completed,3y,Group Stage–Group C,Solary Cup,https://owcdn.net/img/5f0b711209e9d.png
114,"[{'name': 'LEMONn', 'score': '4', 'country': 'fr', 'won': False}, {'name': 'Prodigy', 'score': '13', 'country': 'eu', 'won': True}]",Completed,3y,Group Stage–Group C,Solary Cup,https://owcdn.net/img/5f0b711209e9d.png
115,"[{'name': 'Washed Players', 'score': '13', 'country': 'eu', 'won': True}, {'name': 'BlackBelts', 'score': '11', 'country': 'fr', 'won': False}]",Completed,3y,Group Stage–Group B,Solary Cup,https://owcdn.net/img/5f0b711209e9d.png
116,"[{'name': 'HypHypHyp', 'score': '13', 'country': 'fr', 'won': True}, {'name': 'IDDQD v2', 'score': '7', 'country': 'eu', 'won': False}]",Completed,3y,Group Stage–Group B,Solary Cup,https://owcdn.net/img/5f0b711209e9d.png
117,"[{'name': 'Team Jbzz', 'score': '1', 'country': 'fr', 'won': False}, {'name': 'Uruguay 3', 'score': '13', 'country': 'se', 'won': True}]",Completed,3y,Group Stage–Group A,Solary Cup,https://owcdn.net/img/5f0b711209e9d.png
118,"[{'name': 'AKATSUKI', 'score': '4', 'country': 'ua', 'won': False}, {'name': 'InetGamer', 'score': '13', 'country': 'fr', 'won': True}]",Completed,3y,Group Stage–Group A,Solary Cup,https://owcdn.net/img/5f0b711209e9d.png
103,"[{'name': 'Team Jbzz', 'score': '9', 'country': 'fr', 'won': False}, {'name': 'AKATSUKI', 'score': '13', 'country': 'ua', 'won': True}]",Completed,3y,Group Stage–Group A,Solary Cup,https://owcdn.net/img/5f0b711209e9d.png
104,"[{'name': 'InetGamer', 'score': '12', 'country': 'fr', 'won': False}, {'name': 'Uruguay 3', 'score': '13', 'country': 'se', 'won': True}]",Completed,3y,Group Stage–Group A,Solary Cup,https://owcdn.net/img/5f0b711209e9d.png
105,"[{'name': 'Washed Players', 'score': '6', 'country': 'eu', 'won': False}, {'name': 'HypHypHyp', 'score': '13', 'country': 'fr', 'won': True}]",Completed,3y,Group Stage–Group B,Solary Cup,https://owcdn.net/img/5f0b711209e9d.png
106,"[{'name': 'IDDQD v2', 'score': '8', 'country': 'eu', 'won': False}, {'name': 'BlackBelts', 'score': '13', 'country': 'fr', 'won': True}]",Completed,3y,Group Stage–Group B,Solary Cup,https://owcdn.net/img/5f0b711209e9d.png
107,"[{'name': 'StartedFromCS', 'score': '13', 'country': 'eu', 'won': True}, {'name': 'LEMONn', 'score': '10', 'country': 'fr', 'won': False}]",Completed,3y,Group Stage–Group C,Solary Cup,https://owcdn.net/img/5f0b711209e9d.png
108,"[{'name': 'Prodigy', 'score': '13', 'country': 'eu', 'won': True}, {'name': 'SuperStars', 'score': '4', 'country': 'es', 'won': False}]",Completed,3y,Group Stage–Group C,Solary Cup,https://owcdn.net/img/5f0b711209e9d.png
109,"[{'name': 'fish123', 'score': '13', 'country': 'gb', 'won': True}, {'name': 'LUJAika', 'score': '9', 'country': 'ru', 'won': False}]",Completed,3y,Group Stage–Group D,Solary Cup,https://owcdn.net/img/5f0b711209e9d.png
110,"[{'name': 'OldTownRoad', 'score': '13', 'country': 'fr', 'won': True}, {'name': 'DPE', 'score': '12', 'country': 'ru', 'won': False}]",Completed,3y,Group Stage–Group D,Solary Cup,https://owcdn.net/img/5f0b711209e9d.png
416,"[{'name': 'Prodigy', 'score': '2', 'country': 'eu', 'won': True}, {'name': 'Team davidp', 'score': '1', 'country': 'eu', 'won': False}]",Completed,3y,#2–Grand Final,Take the Throne,https://owcdn.net/img/5f1ccdbdddbf2.png
102,"[{'name': 'smoke', 'score': '0', 'country': 'us', 'won': False}, {'name': 'Jacked Gamers', 'score': '2', 'country': 'ca', 'won': True}]",Completed,3y,Week 2–Playoffs,Valhalla Invitational,https://owcdn.net/img/5ee1f8133ce4f.jpg
101,"[{'name': 'Jacked Gamers', 'score': '2', 'country': 'ca', 'won': True}, {'name': 'The Boys', 'score': '0', 'country': 'us', 'won': False}]",Completed,3y,Week 2–Playoffs,Valhalla Invitational,https://owcdn.net/img/5ee1f8133ce4f.jpg
83,"[{'name': 'HypHypHyp', 'score': '0', 'country': 'fr', 'won': False}, {'name': 'fish123', 'score': '2', 'country': 'gb', 'won': True}]",Completed,3y,Playoffs–Grand Final,Mandatory.gg Cup #1,https://www.vlr.gg/img/vlr/tmp/vlr.png
91,"[{'name': 'StartedFromCS', 'score': '0', 'country': 'eu', 'won': False}, {'name': 'LUJAika', 'score': '2', 'country': 'ru', 'won': True}]",Completed,3y,Week 3–Bronze Final,VALORANT Academy EU - Closed Series,https://owcdn.net/img/5ed92260adc81.png
92,"[{'name': 'Prodigy', 'score': '2', 'country': 'eu', 'won': True}, {'name': 'Shazoo', 'score': '0', 'country': 'gb', 'won': False}]",Completed,3y,Week 3–Grand Final,VALORANT Academy EU - Closed Series,https://owcdn.net/img/5ed92260adc81.png
100,"[{'name': 'smoke', 'score': '2', 'country': 'us', 'won': True}, {'name': 'Moscow 5 Academy', 'score': '1', 'country': 'un', 'won': False}]",Completed,3y,Week 2–Playoffs,Valhalla Invitational,https://owcdn.net/img/5ee1f8133ce4f.jpg
82,"[{'name': 'Ninjas in Pyjamas', 'score': '2', 'country': 'eu', 'won': True}, {'name': 'TooGoodForLan', 'score': '0', 'country': 'fi', 'won': False}]",Completed,3y,Playoffs–Bronze Final,Mandatory.gg Cup #1,https://www.vlr.gg/img/vlr/tmp/vlr.png
88,"[{'name': 'StartedFromCS', 'score': '0', 'country': 'eu', 'won': False}, {'name': 'Prodigy', 'score': '2', 'country': 'eu', 'won': True}]",Completed,3y,Week 3–Semifinals,VALORANT Academy EU - Closed Series,https://owcdn.net/img/5ed92260adc81.png
89,"[{'name': 'Shazoo', 'score': '2', 'country': 'gb', 'won': True}, {'name': 'LUJAika', 'score': '1', 'country': 'ru', 'won': False}]",Completed,3y,Week 3–Semifinals,VALORANT Academy EU - Closed Series,https://owcdn.net/img/5ed92260adc81.png
80,"[{'name': 'fish123', 'score': '2', 'country': 'gb', 'won': True}, {'name': 'TooGoodForLan', 'score': '0', 'country': 'fi', 'won': False}]",Completed,3y,Playoffs–Semifinals,Mandatory.gg Cup #1,https://www.vlr.gg/img/vlr/tmp/vlr.png
81,"[{'name': 'Ninjas in Pyjamas', 'score': '0', 'country': 'eu', 'won': False}, {'name': 'HypHypHyp', 'score': '2', 'country': 'fr', 'won': True}]",Completed,3y,Playoffs–Semifinals,Mandatory.gg Cup #1,https://www.vlr.gg/img/vlr/tmp/vlr.png
98,"[{'name': 'Jacked Gamers', 'score': '13', 'country': 'ca', 'won': True}, {'name': 'Moscow 5 Academy', 'score': '6', 'country': 'un', 'won': False}]",Completed,3y,Week 2–Group B,Valhalla Invitational,https://owcdn.net/img/5ee1f8133ce4f.jpg
99,"[{'name': 'Banbind', 'score': '12', 'country': 'us', 'won': True}, {'name': 'Dignitas', 'score': '6', 'country': 'us', 'won': False}]",Completed,3y,Week 2–Group B,Valhalla Invitational,https://owcdn.net/img/5ee1f8133ce4f.jpg
96,"[{'name': 'Moscow 5 Academy', 'score': '13', 'country': 'un', 'won': True}, {'name': 'Dignitas', 'score': '5', 'country': 'us', 'won': False}]",Completed,3y,Week 2–Group B,Valhalla Invitational,https://owcdn.net/img/5ee1f8133ce4f.jpg
97,"[{'name': 'Jacked Gamers', 'score': '13', 'country': 'ca', 'won': True}, {'name': 'Banbind', 'score': '5', 'country': 'us', 'won': False}]",Completed,3y,Week 2–Group B,Valhalla Invitational,https://owcdn.net/img/5ee1f8133ce4f.jpg
94,"[{'name': 'Jacked Gamers', 'score': '13', 'country': 'ca', 'won': True}, {'name': 'Dignitas', 'score': '2', 'country': 'us', 'won': False}]",Completed,3y,Week 2–Group B,Valhalla Invitational,https://owcdn.net/img/5ee1f8133ce4f.jpg
95,"[{'name': 'Moscow 5 Academy', 'score': '13', 'country': 'un', 'won': True}, {'name': 'Banbind', 'score': '4', 'country': 'us', 'won': False}]",Completed,3y,Week 2–Group B,Valhalla Invitational,https://owcdn.net/img/5ee1f8133ce4f.jpg
84,"[{'name': 'IDDQD v2', 'score': '10', 'country': 'eu', 'won': False}, {'name': 'HypHypHyp', 'score': '13', 'country': 'fr', 'won': True}]",Completed,3y,Playoffs–Quarterfinals,Mandatory.gg Cup #1,https://www.vlr.gg/img/vlr/tmp/vlr.png
